Entity,Year,"Employment in industry, male (% of male employment) (modeled ILO estimate)","Employment in industry, female (% of female employment) (modeled ILO estimate)",Population (historical estimates),Continent
Syria,2019,25.69,8.27,20098252,Asia
Tajikistan,2019,20.95,7.37,9337008,Asia
Tanzania,2019,9.59,3.08,59872584,Africa
Thailand,2019,25.43,19.76,71307768,Asia
Togo,2019,20.65,17.78,8243093,Africa
Tonga,2019,21.92,45,104965,Oceania
Trinidad and Tobago,2019,37.19,12.37,1519960,North America
Tunisia,2019,33.74,32.57,12049319,Africa
Turkey,2019,29.76,15.85,83481688,Asia
Turkmenistan,2019,42.32,36.35,6158424,Asia
Uganda,2019,9.7,3.19,42949076,Africa
Ukraine,2019,34.81,13.99,44211100,Europe
United Arab Emirates,2019,40.06,5.42,9211660,Asia
United Kingdom,2019,27.34,7.7,66778660,Europe
United States,2019,29.33,8.87,334319680,North America
United States Virgin Islands,2019,30.97,7.03,100837,North America
Upper-middle-income countries,2019,30.076576,19.845072,2530546049,
Uruguay,2019,27.04,8.59,3428412,South America
Uzbekistan,2019,29.07,14.29,32976946,Asia
Vanuatu,2019,15.27,12.54,304414,Oceania
Venezuela,2019,20.58,7.08,28971686,South America
Vietnam,2019,31.26,23.28,95776712,Asia
World,2019,27.238506,15.533686,7764951040,
Yemen,2019,10,13.08,31546694,Asia
Zambia,2019,16.21,4.3,18380478,Africa
Zimbabwe,2019,11.34,1.93,15354606,Africa
